"dataset_id","title","version","scope","canonical_url","doi","concept_doi","local_canonical_path","record_count","source_count","verified_on","next_review_due","license_url","status"
"DSET-SA-2026-V1-1","South America Travel Planning Index 2026","1.1","12 sovereign South American country planning profiles","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://doi.org/10.5281/zenodo.21765168","https://doi.org/10.5281/zenodo.21765167","inputs/upstream/south-america-trip-planning-dataset-2026-v1-1.csv","12","44","2026-08-02","2026-11-02","https://creativecommons.org/licenses/by/4.0/","published_source_release"
"DSET-EG-PASS-2026-V13","Egyptian Passport Entry Rules 2026","13.0","8 selected tourism short-visit routes for ordinary Egyptian passport holders","https://visaadvisor.ai/egyptian-passport-dataset-2026/","https://doi.org/10.5281/zenodo.21744802","","inputs/upstream/egyptian-passport-entry-rules-2026-v13.csv","8","12","2026-07-26","2026-08-25","https://creativecommons.org/licenses/by/4.0/","published_source_release"
